text,intent,sentiment,urgency,risk,department
All printers on the third floor stopped responding after this morning's Windows update. We have a physical contract to print by EOD.,Complaint,Negative,High,Medium,IT
"Could building management look into the broken elevator button on Floor 4? It's been stuck in the pressed position for days, which causes the lift to stop unnecessarily.",Request,Neutral,Low,Low,General
We're approaching the end of the financial year and three of our five strategic goals remain below target. A course correction plan needs to be submitted to the board.,Escalation,Negative,High,High,Management
My laptop battery drains in under two hours even when not doing anything intensive. I've submitted a ticket before but it got closed without resolution.,Complaint,Negative,Low,Low,IT
Just a reminder that the planned server maintenance window is this Sunday from 2 AM to 5 AM IST. All services will be briefly unavailable.,Information,Neutral,Low,Low,IT
The fire safety inspection is scheduled for 22nd April. All departments need to ensure emergency exit routes are clear and extinguishers are accessible.,Information,Neutral,Medium,Medium,Operations
Please be informed that Ankit Sharma will be transitioning to the senior analyst role effective 1st April. His revised compensation details have been finalized.,Information,Neutral,Low,Low,HR
Is there a way to access my work email from my personal phone without installing the full MDM profile? I'd prefer to keep the devices separate.,Inquiry,Neutral,Low,Medium,IT
The packaging material from our new supplier is substandard. Products are arriving at client locations with visible damage. We need to either renegotiate or switch suppliers.,Escalation,Negative,High,High,Operations
Our legal counsel has advised that the new data localisation regulations will apply to us from Q3. Relevant teams have been briefed and impact assessments are underway.,Information,Neutral,Medium,High,Management
We've identified a potential mismatch between our internal revenue recognition schedule and what's been recorded in the ERP for Q1. An audit may be needed.,Escalation,Negative,High,High,Finance
Could someone verify whether the forklift certifications for three of our warehouse staff are still valid? I believe they may have expired last quarter.,Inquiry,Neutral,Medium,High,Operations
"We hit the milestone, though some of it was made possible by weekend work from two team members who haven't been acknowledged formally.",Information,Neutral,Low,Medium,Management
I wanted to flag that the building's main entrance has a broken door mechanism. It's been like this for three days and could be a safety issue.,Information,Neutral,Medium,Medium,General
The new vendor onboarding checklist has made a real difference. The quality of documentation from suppliers has improved and approval times are down by 40%.,Appreciation,Positive,Low,Low,Operations
"Our team has been very busy this quarter and morale seems a bit stretched. Nothing alarming, but I want to make sure we're supporting people appropriately.",Inquiry,Neutral,Medium,Medium,HR
A serious safety incident occurred in the warehouse this morning. One employee has been taken to the hospital. The area has been cordoned off pending investigation.,Escalation,Negative,High,High,Operations
Can we upgrade the conference room projector in Block C? It has a noticeable lag and the resolution makes it hard to read presentations during client meetings.,Request,Neutral,Low,Low,IT
The strategic planning offsite last week was extremely productive. The alignment we achieved in two days would have taken months through normal channels.,Appreciation,Positive,Low,Low,Management
"I don't want to overreact to one data point, but the customer satisfaction score for our channel dropped four points this month. Could be noise or could be a signal.",Inquiry,Neutral,Medium,Medium,Management
Our external auditors have flagged a related-party transaction that wasn't disclosed in the annual filing notes. We need legal and finance to address this jointly.,Escalation,Negative,High,High,Finance
Just wanted to say that the office renovation turned out really well. The new breakout spaces and the improved lighting have made a big difference to the daily environment.,Appreciation,Positive,Low,Low,General
I wasn't notified when my meeting room booking was cancelled. I showed up with three external clients and had to improvise.,Complaint,Negative,Medium,Medium,General
"I've reviewed the proposal and there are a few sections I'd like to revisit with you. Nothing major, but worth a conversation before it goes externally.",Request,Neutral,Medium,Medium,Management
I am applying for unpaid sabbatical leave for a period of three months to pursue a personal research project. I would like to discuss the feasibility.,Request,Neutral,Low,Low,HR
I've been tracking our SLA adherence this quarter and we're at 87% against a target of 95%. I'd like to discuss the root causes in the next ops review.,Information,Neutral,Medium,Medium,Operations
I wanted to take a moment to appreciate the Finance team for closing the books on time despite the compressed timeline this quarter.,Appreciation,Positive,Low,Low,Finance
I'm having trouble accessing the self-service portal to update my bank details for salary disbursement. Could someone help or update it on my behalf?,Request,Neutral,Medium,Medium,HR
Our IT team resolved a critical deployment blocker at 10 PM on a Friday without any complaints. That kind of commitment doesn't go unnoticed.,Appreciation,Positive,Low,Low,IT
"Our cold storage unit B has been flagging a temperature variance since last night. If it isn't addressed soon, we risk spoilage of the pharmaceutical stock currently stored there.",Escalation,Negative,High,High,Operations
Could you clarify the notice period waiver policy? A team member has received an offer requiring them to join in two weeks rather than the standard one month.,Inquiry,Neutral,Medium,Low,HR
"As a reminder, all expense claims for the previous month must be submitted by the 5th of each month. Claims submitted after this date will be processed in the following cycle.",Information,Neutral,Low,Low,Finance
The quarterly business review went very well. The team presented a clear picture of performance and the discussion on growth levers was substantive.,Appreciation,Positive,Low,Low,Management
"I know this is a sensitive topic and I don't want to overstep, but I've observed something in the team dynamic that I think warrants a quiet conversation.",Escalation,Neutral,Medium,High,HR
Could you review the draft terms for the new strategic partnership before it goes to the board? There are two clauses I'm uncertain about.,Request,Neutral,Medium,Medium,Management
I wanted to bring to your attention some concerns about how the recent performance review process was conducted in our department. Several criteria felt subjective and the feedback sessions were very rushed.,Complaint,Negative,Medium,Medium,HR
Could someone update the org chart to reflect the recent promotions? The current version on the intranet is over four months out of date.,Request,Neutral,Low,Low,HR
Finance has not yet released the departmental budgets for Q2 even though we're already two weeks into the quarter. Planning is on hold for several teams.,Complaint,Negative,Medium,Medium,Finance
The way the operations team handled the supply disruption last month without a single client-facing impact was genuinely impressive.,Appreciation,Positive,Low,Low,Operations
The catering order for today's board lunch was incorrect and arrived 40 minutes late. This was an important external engagement.,Complaint,Negative,High,Medium,Operations
What are the criteria for being considered for an internal transfer to another department? I've been in my current role for three years and am looking for new challenges.,Inquiry,Neutral,Low,Low,HR
The new inventory management software has reduced stock discrepancies by over 30% in the first month. The operations team adapted quickly and the training was well done.,Appreciation,Positive,Low,Low,Operations
Does anyone know if the company library still operates or if it was discontinued? I'd like to borrow some reference books for a certification I'm preparing for.,Inquiry,Neutral,Low,Low,General
We'd like to request approval to pilot a paperless delivery confirmation system across two routes next quarter. The projected saving is around Rs. 1.4 lakhs annually.,Request,Neutral,Low,Low,Operations
"Our Q1 customer retention rate came in at 91%, up from 87% in Q4 last year. The improvement is largely attributed to the new account management model.",Information,Positive,Low,Low,Management
This is to confirm that the safety drill conducted last Friday had 100% participation. No issues were identified and the evacuation time was within the target.,Information,Positive,Low,Low,Operations
We need someone to take ownership of the onboarding buddy program — it's fallen into disarray and new joiners are not being matched with buddies consistently.,Request,Neutral,Medium,Low,General
The automated salary disbursement ran with incorrect deduction codes for 14 employees this cycle. Corrected payslips and adjustments need to go out before month end.,Complaint,Negative,High,High,Finance
We need to make a call on the vendor shortlist for the ERP replacement by end of week. The evaluation committee has been waiting on two approvals.,Request,Neutral,High,Medium,Management
Could someone from IT look into why Outlook keeps freezing on my machine? It's been happening on and off for about a week now.,Request,Neutral,Medium,Low,IT
The new automated sorting system in the dispatch hall is performing well above expectations. Throughput is up 22% and error rates have dropped significantly.,Appreciation,Positive,Low,Low,Operations
"Is the petty cash policy still capped at Rs. 5,000 per transaction? Our team needs to make a purchase that's slightly above that and I want to follow the right process.",Inquiry,Neutral,Low,Low,Finance
The branch office in Hyderabad has reported that their lease renewal was not processed in time and the landlord is asking them to vacate by end of month.,Escalation,Negative,High,High,Operations
I wanted to personally thank the entire cross-functional team for the exceptional effort on the Q4 product launch. We delivered on time despite some late-breaking changes.,Appreciation,Positive,Low,Low,Management
The wi-fi in the cafeteria area is barely usable during lunch hours. A lot of us use that time for calls or remote collaboration.,Complaint,Negative,Low,Low,General
"The new cafeteria vendor has noticeably improved the quality and variety of the lunch menu. A small thing, but it genuinely improves the day.",Appreciation,Positive,Low,Low,General
Please be informed that the new logistics partner will take over domestic deliveries from 1st May. A transition briefing will be held for all operations staff next Thursday.,Information,Neutral,Low,Low,Operations
Please be informed that the CEO's quarterly town hall will be held on 25th April at 11 AM. All employees are encouraged to attend. A Q&A session will follow.,Information,Neutral,Low,Low,Management
We delivered the project within budget and on time. The client acknowledged the milestone but hasn't confirmed the next phase yet.,Information,Neutral,Medium,Medium,Management
"Our SLA performance looks acceptable on paper, but if you drill into the data by segment, there's a specific client category that's consistently below threshold.",Information,Neutral,Medium,High,Operations
The response to my HR query last month was a copy-paste of the policy document I had already read. I'm looking for an actual answer to my specific situation.,Complaint,Negative,Low,Low,HR
Our third-party QA firm has flagged non-compliance with ISO 9001 requirements in two process areas. A corrective action plan is needed within 30 days.,Escalation,Negative,High,High,Operations
Please note that parking lot B will be closed for resurfacing from 8th to 10th May. Staff are advised to use lot C or the street parking on the east side.,Information,Neutral,Low,Low,General
The year-end audit went very smoothly this time. The finance team's preparation was thorough and the auditors commented on the quality of documentation. Well done.,Appreciation,Positive,Low,Low,Finance
"The client seems satisfied for now. They didn't raise any concerns during the call, though a few of their questions suggested they may be evaluating alternatives.",Information,Neutral,Medium,High,Management
Just to confirm — the cloud migration for the HR module has been completed on schedule. All data integrity checks passed. Moving to phase 2 next week.,Information,Positive,Low,Low,IT
"Our key client's contract expires at midnight tonight and the renewal paperwork has not been signed. If this lapses, we lose the account.",Escalation,Negative,High,High,Finance
"The client visit went well overall. There was one moment of tension around the delivery timeline, but it was managed and the day ended positively.",Information,Neutral,Medium,Medium,Operations
The inter-city freight costs have jumped 18% this quarter with our current carrier. I'd recommend we solicit fresh bids before the annual contract renewal.,Information,Neutral,Medium,Medium,Operations
A few of us on the third floor have noticed a water leak near the stairwell. It's been there for about two days and the floor is getting slippery.,Information,Neutral,High,Medium,General
Maria has been putting in long hours and the output reflects that. I just want to make sure we're setting sustainable expectations for the rest of the quarter.,Inquiry,Neutral,Medium,Medium,HR
The turnaround on my support ticket yesterday was faster than I've seen in years. The engineer who handled it clearly knew what he was doing.,Appreciation,Positive,Low,Low,IT
Is there a formal process for requesting a workspace ergonomic assessment? I've been experiencing back pain that I believe is related to my current setup.,Inquiry,Neutral,Low,Low,HR
This is the third service interruption this month on the same system. I understand it's a known issue but the business impact is accumulating.,Complaint,Negative,High,High,IT
"My reimbursement claim submitted six weeks ago still shows as pending. The total is Rs. 38,000 covering travel and accommodation for the client visit.",Complaint,Negative,Medium,Low,Finance
The senior leadership's handling of the recent organizational change was thoughtful and transparent. Employees felt informed and respected throughout.,Appreciation,Positive,Low,Low,Management
Could someone help me understand how foreign currency transactions are handled in the books? We've started billing a US client and need to know the conversion approach.,Inquiry,Neutral,Low,Low,Finance
"The onboarding process for our new team member went reasonably well, though a couple of system access requests were still pending at the end of day one.",Information,Neutral,Low,Low,HR
Could IT please whitelist the domain api.dataprovider.com? Our analytics team needs access to pull market data for the quarterly report.,Request,Neutral,Medium,Low,IT
My offer letter still shows the incorrect designation. I've mentioned this twice before and it's been over a month. This is affecting my background verification process.,Complaint,Negative,Medium,Medium,HR
My account password expired and now I can't log in at all. The self-service reset portal is also giving an error. I'm locked out of everything.,Complaint,Negative,High,Low,IT
There appears to be a misalignment between what was communicated to the sales team about the product roadmap and what engineering actually plans to deliver in H2.,Escalation,Negative,Medium,High,Management
"Lena's handling of the client complaint last week was exceptional — professional, calm, and resolved within the hour. She should be recognized for it.",Appreciation,Positive,Low,Low,Management
We need to revisit our data privacy practices before the new regulations take effect in June. Legal has raised concerns that our current processes may not be compliant.,Escalation,Negative,High,High,Management
Our new hire's background verification has stalled for 3 weeks. Her start date is approaching and we risk losing her if the process isn't expedited.,Escalation,Negative,High,High,HR
The cleaning crew scheduled for the weekend did not show up and the office is in a poor state ahead of a client visit tomorrow morning.,Complaint,Negative,High,Medium,Operations
The deployment went ahead as planned. We're monitoring for any issues over the next 24 hours.,Information,Neutral,Medium,Medium,IT
I reached out to the supplier twice this week and haven't heard back. We're not at a critical point yet but this needs to be resolved within the next few days.,Request,Neutral,Medium,Medium,Operations
Could HR confirm whether the company provides any support for professional certifications? I'm planning to pursue a PMP and would appreciate any reimbursement guidance.,Inquiry,Neutral,Low,Low,HR
"The payroll file submitted to the bank has a processing error. If not corrected in the next two hours, employees will not receive their salaries on time.",Escalation,Negative,High,High,Finance
I've flagged the discrepancy to the relevant team. Waiting to hear back. Will update once I have more information.,Information,Neutral,Medium,Medium,Operations
Our largest client has escalated their concerns directly to the CEO. The account team has been aware of the service issues for two months but hadn't flagged it internally.,Escalation,Negative,High,High,Management
What is the current policy on using personal cloud storage like Google Drive for work files? The handbook doesn't seem to address this clearly.,Inquiry,Neutral,Low,Medium,IT
"As of this month, all project budgets exceeding Rs. 10 lakhs will require dual approval from both the departmental head and the CFO's office.",Information,Neutral,Medium,Medium,Finance
The new leadership team has brought a real sense of direction to the organization. Employees are noticing the change and morale is visibly improving.,Appreciation,Positive,Low,Low,Management
The team ran a blood donation drive entirely on a volunteer basis last week and collected 34 units. A quiet achievement worth recognizing.,Appreciation,Positive,Low,Low,General
Our primary database server has been throwing timeout errors since 3 AM. Two client-facing applications are completely down and we are losing transactions every minute.,Complaint,Negative,High,High,IT
"What is the approval process for publishing content externally on behalf of the company, such as an article or LinkedIn post?",Inquiry,Neutral,Low,Low,Management
There's been a 15% increase in returned deliveries this month. Most returns cite incorrect labelling. We need to review the packaging process before this becomes a client issue.,Escalation,Negative,Medium,Medium,Operations
I was not invited to the project kickoff meeting even though my team is one of the core contributors. This has happened before and it creates rework.,Complaint,Negative,Medium,Low,Management
The revised onboarding checklist the HR team put together is genuinely useful. New joiners are getting up to speed much faster than before.,Appreciation,Positive,Low,Low,HR
The operations team's response during last month's system migration was outstanding. Minimal disruption to delivery schedules despite a very tight window.,Appreciation,Positive,Low,Low,Operations
I wanted to check if there is a policy for compassionate leave. A family member is seriously ill and I may need to travel at short notice.,Inquiry,Neutral,Medium,Low,HR
Could someone in Finance review and approve the travel advance request I submitted on Monday? I'm traveling to the Singapore office on Friday.,Request,Neutral,Medium,Low,Finance
Quick question — who do I contact to get a visitor access badge arranged for a guest arriving Thursday morning?,Inquiry,Neutral,Low,Low,General
The presentation landed well with most of the audience. A few stakeholders raised concerns about implementation risk that we'll need to address in the next session.,Information,Neutral,Medium,Medium,Management
"Not sure if this goes to IT or General, but the digital display boards in the lobby have been showing last month's announcements for three weeks.",Complaint,Negative,Low,Low,General
The system behaved unexpectedly during testing but we couldn't reproduce it in a controlled environment. Marking it as watch and monitor for now.,Information,Neutral,Medium,High,IT
Our CCTV monitoring system seems to have gone offline sometime yesterday. The security team has no visibility into the server room.,Escalation,Negative,High,High,IT
The vendor audit conducted last week identified three suppliers who do not meet our updated sustainability criteria. A review process has been initiated.,Information,Neutral,Medium,Medium,Operations
Is there a designated point of contact for sustainability or CSR initiatives? I'd like to propose a waste reduction initiative for our floor.,Inquiry,Positive,Low,Low,General
The patch management dashboard shows 12 servers with critical vulnerabilities that haven't been patched in over 60 days. This needs immediate attention.,Escalation,Negative,High,High,IT
The training was completed but some participants felt the content was too basic for their level. Worth reviewing the curriculum before the next cohort.,Information,Neutral,Low,Low,HR
I'd like to request admin access to the staging environment so I can deploy the hotfix without waiting for approvals each time.,Request,Neutral,Medium,Medium,IT
This is a reminder that all department heads are required to submit their annual budget proposals by 30th April. Templates have been shared by Finance.,Information,Neutral,Medium,Low,Management
Could you send me a copy of the updated leave policy? I want to check my carryover entitlement before planning the year-end holidays.,Inquiry,Neutral,Low,Low,HR
I notice the project timeline has shifted again — third time this month. Happy to adjust my team's deliverables accordingly if we can get updated specs before Friday.,Complaint,Neutral,Medium,Medium,Management
I'd like to request a quiet working area or hot desk in a different zone for the next two weeks. My current seating is near a very noisy section.,Request,Neutral,Low,Low,General
I'm writing this after sitting on it for a few days. The feedback I received in my last review didn't reflect what I was told informally throughout the year.,Complaint,Negative,Medium,Medium,HR
The mentorship program this year has been transformative for several of the junior staff. A lot of credit goes to the HR team for matching people thoughtfully.,Appreciation,Positive,Low,Low,HR
I'd like to recommend Sunita Verma for the leadership accelerator program this year. Her performance has been consistently outstanding and she is ready for the next level.,Request,Positive,Low,Low,Management
"I'd like to understand the approval hierarchy for budget reallocations within a department. Specifically, can a team lead approve moves under 2 lakhs without management sign-off?",Inquiry,Neutral,Low,Low,Finance
The project governance framework we introduced last quarter has significantly reduced scope creep and rework across teams. It's working exactly as intended.,Appreciation,Positive,Low,Low,Management
The board has asked for a revised five-year financial model incorporating two new growth scenarios. The CFO needs inputs from each business unit by next Friday.,Request,Neutral,Medium,Low,Management
This is to confirm that the annual compliance training has been updated and must be completed by all staff before 30th June. The module is now live on the portal.,Information,Neutral,Medium,Medium,HR
Our DR site failover test has revealed that the backup environment won't support full load. Our business continuity plan as written is not viable.,Escalation,Negative,High,High,IT
This is the monthly budget utilization summary for March. Overall spend is at 91% of plan with IT and Marketing slightly over. Full breakdown is attached.,Information,Neutral,Low,Low,Finance
One of our contractor accounts appears to have accessed and downloaded a large volume of files from the HR drive at 2 AM. IT and HR need to act on this now.,Escalation,Negative,High,High,IT
Just wanted to pass on that the finance team's turnaround on the investor reporting package this quarter was excellent. The format changes were exactly what the board requested.,Appreciation,Positive,Low,Low,Finance
I want to formally flag that the new variable pay structure was communicated less than 72 hours before the salary revision cycle. This caused unnecessary confusion.,Complaint,Negative,Medium,Medium,HR
I'm not raising a formal complaint — more of an observation. The meeting culture in our team tends toward long sessions with limited outcomes.,Inquiry,Neutral,Low,Low,Management
Friendly reminder that the Diwali celebration lunch is this Friday at 1 PM in the main hall. All staff are welcome and dietary preferences have been accounted for.,Information,Positive,Low,Low,General
"I'd like to escalate the matter of my promotion review, which was promised in Q3 last year. I've received no update despite multiple follow-ups with my manager.",Escalation,Negative,Medium,Medium,HR
I'd like to discuss the restructuring proposal for the customer success division before it goes to the board. The current draft has implications that need broader input.,Request,Neutral,Medium,Medium,Management
I want to acknowledge the effort the procurement team put into renegotiating our key vendor contracts. The savings will be felt across the year.,Appreciation,Positive,Low,Low,Finance
"I'm not sure which team to contact about this, but my workstation has been moved twice in the last month without prior notice. It's been quite disruptive.",Complaint,Negative,Low,Low,General
Our intrusion detection system flagged 47 failed login attempts on the CFO's account between midnight and 1 AM. The account has been locked but needs investigation.,Escalation,Negative,High,High,IT
A journalist has reached out asking for comment on what they describe as a data breach affecting customer records. We have no information internally. This needs to go to senior management immediately.,Escalation,Negative,High,High,Management
The new performance dashboard that IT rolled out gives us exactly the visibility we needed. It's already changed how we run our weekly reviews.,Appreciation,Positive,Low,Low,IT
The new expense management app is a huge improvement over the old paper-based process. Claims are being processed much faster and the mobile interface is intuitive.,Appreciation,Positive,Low,Low,Finance
The wellness initiative launched last month has already seen over 200 employee sign-ups. It's a great step forward and the team feels genuinely cared for.,Appreciation,Positive,Low,Low,HR
I've been in this role for nine months now and haven't had a formal check-in with my manager since the first month. I'm not sure how to raise this without it feeling awkward.,Inquiry,Neutral,Low,Medium,HR
"I appreciate the response, though I'm not sure the proposed solution fully addresses the underlying issue. Happy to discuss further if that would help.",Complaint,Neutral,Medium,Medium,General
The new ticketing system is working great. Response times have improved and the interface is much cleaner than the old one. Good work to the IT team.,Appreciation,Positive,Low,Low,IT
I haven't received my salary for this month yet. My colleagues have received theirs. Could you look into this as a matter of some priority?,Complaint,Negative,High,Medium,HR
I'd like to propose a small change to the incoming goods inspection checklist. Adding two additional quality checkpoints could help reduce rejection rates downstream.,Request,Positive,Low,Low,Operations
A team member has sent a client email with confidential pricing data for another client attached by mistake. The client has acknowledged receiving it.,Escalation,Negative,High,High,Management
I'd like to request a formal letter confirming my employment and current designation. It's needed for a residential lease application.,Request,Neutral,Low,Low,HR
The new policy was communicated clearly and seems fair. A few people have questions about edge cases — it might be worth publishing a brief FAQ.,Information,Positive,Low,Low,HR
Can someone clarify the process for reimbursing personal purchases made when the company card wasn't available? I'm not sure which form to fill.,Inquiry,Neutral,Low,Low,General
My maternity leave is ending next week and I'd like to explore the option of returning part-time for the first two months before resuming full-time.,Request,Neutral,Medium,Low,HR
