text,intent,sentiment,urgency,risk
Could you provide further clarification?,inquiry,neutral,low,low
Could you share more details?,inquiry,neutral,low,low
Could you share additional information?,inquiry,neutral,low,low
Could you share further clarification?,inquiry,neutral,low,low
Could you give more details?,inquiry,neutral,low,low
Could you give additional information?,inquiry,neutral,low,low
Could you give further clarification?,inquiry,neutral,low,low
Please provide more details?,inquiry,neutral,low,low
Please provide additional information?,inquiry,neutral,low,low
Please provide further clarification?,inquiry,neutral,low,low
Please share more details?,inquiry,neutral,low,low
Please share additional information?,inquiry,neutral,low,low
Please share further clarification?,inquiry,neutral,low,low
Please give more details?,inquiry,neutral,low,low
Please give additional information?,inquiry,neutral,low,low
Please give further clarification?,inquiry,neutral,low,low
This is taking too long to resolve,complaint,neutral,normal,low
This is taking longer than expected,complaint,neutral,normal,low
This is taking excessive time to complete,complaint,neutral,normal,low
This has been taking too long to resolve,complaint,neutral,normal,low
This has been taking longer than expected,complaint,neutral,normal,low
This has been taking excessive time to complete,complaint,neutral,normal,low
The process is taking too long to resolve,complaint,neutral,normal,low
The process is taking longer than expected,complaint,neutral,normal,low
The process is taking excessive time to complete,complaint,neutral,normal,low
The process has been taking too long to resolve,complaint,neutral,normal,low
The process has been taking longer than expected,complaint,neutral,normal,low
The process has been taking excessive time to complete,complaint,neutral,normal,low
Thank you for your quick response,praise,positive,low,low
Thank you for your prompt reply,praise,positive,low,low
Thank you for your fast response,praise,positive,low,low
Thank you for the quick response,praise,positive,low,low
Thank you for the prompt reply,praise,positive,low,low
Thank you for the fast response,praise,positive,low,low
I appreciate your quick response,praise,positive,low,low
I appreciate your prompt reply,praise,positive,low,low
I appreciate your fast response,praise,positive,low,low
I appreciate the quick response,praise,positive,low,low
I appreciate the prompt reply,praise,positive,low,low
I appreciate the fast response,praise,positive,low,low
We may consider legal action if this continues,threat,neutral,low,high
We may consider legal steps if the issue persists,threat,neutral,low,high
We may consider legal measures should this remain unresolved,threat,neutral,low,high
We may pursue legal action if this continues,threat,neutral,low,high
We may pursue legal steps if the issue persists,threat,neutral,low,high
We may pursue legal measures should this remain unresolved,threat,neutral,low,high
We may take legal action if this continues,threat,neutral,low,high
We may take legal steps if the issue persists,threat,neutral,low,high
We may take legal measures should this remain unresolved,threat,neutral,low,high
We might consider legal action if this continues,threat,neutral,low,high
We might consider legal steps if the issue persists,threat,neutral,low,high
We might consider legal measures should this remain unresolved,threat,neutral,low,high
We might pursue legal action if this continues,threat,neutral,low,high
We might pursue legal steps if the issue persists,threat,neutral,low,high
We might pursue legal measures should this remain unresolved,threat,neutral,low,high
We might take legal action if this continues,threat,neutral,low,high
We might take legal steps if the issue persists,threat,neutral,low,high
We might take legal measures should this remain unresolved,threat,neutral,low,high
We will have to consider legal action if this continues,threat,neutral,low,high
We will have to consider legal steps if the issue persists,threat,neutral,low,high
We will have to consider legal measures should this remain unresolved,threat,neutral,low,high
We will have to pursue legal action if this continues,threat,neutral,low,high
We will have to pursue legal steps if the issue persists,threat,neutral,low,high
We will have to pursue legal measures should this remain unresolved,threat,neutral,low,high
We will have to take legal action if this continues,threat,neutral,low,high
We will have to take legal steps if the issue persists,threat,neutral,low,high
We will have to take legal measures should this remain unresolved,threat,neutral,low,high
This situation is unacceptable and needs fixing,complaint,negative,low,medium
This situation is not acceptable and must be addressed,complaint,negative,low,medium
This situation is unacceptable and requires action,complaint,negative,low,medium
This situation seems unacceptable and needs fixing,complaint,negative,low,medium
This situation seems not acceptable and must be addressed,complaint,negative,low,medium
This situation seems unacceptable and requires action,complaint,negative,low,medium
This issue is unacceptable and needs fixing,complaint,negative,low,medium
This issue is not acceptable and must be addressed,complaint,negative,low,medium
This issue is unacceptable and requires action,complaint,negative,low,medium
This issue seems unacceptable and needs fixing,complaint,negative,low,medium
This issue seems not acceptable and must be addressed,complaint,negative,low,medium
This issue seems unacceptable and requires action,complaint,negative,low,medium
The current situation is unacceptable and needs fixing,complaint,negative,low,medium
The current situation is not acceptable and must be addressed,complaint,negative,low,medium
The current situation is unacceptable and requires action,complaint,negative,low,medium
The current situation seems unacceptable and needs fixing,complaint,negative,low,medium
The current situation seems not acceptable and must be addressed,complaint,negative,low,medium
The current situation seems unacceptable and requires action,complaint,negative,low,medium
Thank you for support,praise,positive,low,low
Thank you for assistance,praise,positive,low,low
Thank you for help,praise,positive,low,low
Thank you for your support,praise,positive,low,low
Thank you for your assistance,praise,positive,low,low
Thank you for your help,praise,positive,low,low
Many thanks for support,praise,positive,low,low
Many thanks for assistance,praise,positive,low,low
Many thanks for help,praise,positive,low,low
Many thanks for your support,praise,positive,low,low
Many thanks for your assistance,praise,positive,low,low
Many thanks for your help,praise,positive,low,low
I appreciate you for support,praise,positive,low,low
I appreciate you for assistance,praise,positive,low,low
I appreciate you for help,praise,positive,low,low
I appreciate you for your support,praise,positive,low,low
I appreciate you for your assistance,praise,positive,low,low
I appreciate you for your help,praise,positive,low,low
I am unhappy with your service,complaint,negative,low,low
I am unhappy with the service provided,complaint,negative,low,low
I am unhappy with the level of service,complaint,negative,low,low
I am dissatisfied with your service,complaint,negative,low,low
I am dissatisfied with the service provided,complaint,negative,low,low
I am dissatisfied with the level of service,complaint,negative,low,low
I am not satisfied with your service,complaint,negative,low,low
I am not satisfied with the service provided,complaint,negative,low,low
I am not satisfied with the level of service,complaint,negative,low,low
I feel unhappy with your service,complaint,negative,low,low
I feel unhappy with the service provided,complaint,negative,low,low
I feel unhappy with the level of service,complaint,negative,low,low
I feel dissatisfied with your service,complaint,negative,low,low
I feel dissatisfied with the service provided,complaint,negative,low,low
I feel dissatisfied with the level of service,complaint,negative,low,low
I feel not satisfied with your service,complaint,negative,low,low
I feel not satisfied with the service provided,complaint,negative,low,low
I feel not satisfied with the level of service,complaint,negative,low,low
I am very unhappy with your service,complaint,negative,low,low
I am very unhappy with the service provided,complaint,negative,low,low
I am very unhappy with the level of service,complaint,negative,low,low
I am very dissatisfied with your service,complaint,negative,low,low
I am very dissatisfied with the service provided,complaint,negative,low,low
I am very dissatisfied with the level of service,complaint,negative,low,low
I am very not satisfied with your service,complaint,negative,low,low
I am very not satisfied with the service provided,complaint,negative,low,low
I am very not satisfied with the level of service,complaint,negative,low,low
